1980,1990,2000,2010,origin
45759692,36602143,27509488,21250044,AFG
10723,48086,118910,94788,ALB
30,41037,99153,36878,DZA
0,0,0,0,ASM
0,13,66,38,AND
3908707,3133244,2819137,331090,AGO
0,5,139,442,ATG
1478,2646,8195,2661,ARG
3436,1591707,131468,106514,ARM
0,0,0,0,ABW
0,10,249,211,AUS
0,324,398,63,AUT
0,2239444,1726011,100481,AZE
0,2,63,1710,BHS
0,721,630,2591,BHR
14,336780,73933,93655,BGD
0,21,179,699,BRB
0,2724,62732,38156,BLR
0,50,495,581,BEL
0,30,112,346,BLZ
212,409,2558,3460,BEN
0,2,5,0,BMU
0,807134,1060789,267264,BTN
577,1919,3197,4633,BOL
0,5683142,2420096,276719,BIH
3,125,108,1529,BWA
41,663,6778,7617,BRA
0,3,59,6,BRN
3525,31707,28952,13351,BGR
302,663,5893,14501,BFA
1867401,4189193,4300849,1543984,BDI
0,11,162,173,CPV
959339,486285,242345,109806,KHM
60,9981,83474,97643,CMR
0,72,1144,755,CAN
0,0,0,34,CYM
15870,2324,618025,2664738,CAF
1456108,1041701,504076,278393,TCD
17549,118747,11171,6228,CHL
1180,850024,1397159,1602734,CHN
0,687,86,152,HKG
0,4,109,36,MAC
411,18880,1591493,2785454,COL
5,112,1080,4040,COM
42,66046,242170,113198,COG
0,804,1992,2665,CRI
3,2116,194934,612787,CIV
0,1993296,1832790,365534,HRV
22283,220249,164424,56123,CUB
0,0,0,175,CUW
22,71,70,61,CYP
15369,30495,29739,8348,CZE
0,44,3996,9234,PRK
981046,1199930,4127941,4193542,COD
0,149,115,60,DNK
0,67568,6759,7699,DJI
0,6,301,327,DMA
7,223,1488,2595,DOM
0,1943,8690,7407,ECU
73,11013,60653,113360,EGY
1852407,236083,58586,100720,SLV
74006,2792,4800,1583,GNQ
8344,3485455,2225625,2784161,ERI
0,4805,6004,2512,EST
15643976,2811955,638586,635611,ETH
0,1748,13225,9192,FJI
0,16,51,46,FIN
0,267,1089,679,FRA
0,0,2,0,PYF
0,179,747,1428,GAB
2,2238,11304,51065,GMB
0,172637,128486,62853,GEO
0,3700,4604,1172,DEU
23771,103318,137259,163533,GHA
1512,1106,1660,680,GRC
14,97,1622,2112,GRD
0,0,0,0,GUM
387386,435971,90276,71365,GTM
320,3845,56940,123886,GIN
49733,39669,10047,10939,GNB
4,325,3448,4859,GUY
48813,86933,143123,266814,HTI
108,7637,8533,45102,HND
12663,34122,24307,13933,HUN
0,19,96,13,ISL
21,47373,158014,94799,IND
65497,84885,199412,117188,IDN
312367,1059166,968977,671992,IRN
2636418,8779096,9870852,5572143,IRQ
0,8,71,58,IRL
8,5452,8499,7752,ISR
0,626,1224,475,ITA
0,119,4480,12991,JAM
0,20,1106,1167,JPN
138,4847,14511,16095,JOR
0,110622,49832,22067,KAZ
4,49436,51891,66424,KEN
0,0,234,125,KIR
0,5273,6652,8451,KWT
0,44927,23801,21978,KGZ
986323,676395,144335,61359,LAO
0,6054,16265,3052,LVA
106326,104151,162991,68476,LBN
154,74,61,102,LSO
81,6114002,2105813,214020,LBR
3451,5556,15634,45572,LBY
0,0,0,0,LIE
6,2050,8614,2217,LTU
0,0,6,7,LUX
0,360,1668,2297,MDG
2958,429,806,2629,MWI
0,538,3544,3998,MYS
2,9,92,284,MDV
0,511892,12442,910922,MLI
2,94,101,30,MLT
0,0,0,21,MHL
0,3,0,0,MRT
48244,699423,334319,287213,
0,53,418,646,MUS
0,4169,31737,76156,MEX
0,0,0,0,FSM
0,4,4,22,MCO
0,72,6579,16736,MNG
0,0,4557,14219,MNE
15,2073,22121,16962,MAR
3069686,5611114,1322,705,MOZ
11,1467452,1893967,4303105,MMR
667877,3579,13976,9585,NAM
0,416,21463,62867,NPL
0,419,472,460,NLD
0,0,0,0,NCL
0,0,51,168,NZL
453975,316539,27530,11917,NIC
0,90718,7145,7844,NER
33,18999,163779,809169,NGA
0,15,53,71,NOR
0,55,271,347,OMN
691,41592,250906,1042579,PAK
0,0,2,6,PLW
118315,741009,3049251,771046,PSE
412,3672,660,641,PAN
0,5045,274,2034,PNG
0,267,556,691,PRY
32,41242,63430,34434,PER
920000,93377,142653,5762,PHL
54076,154141,87178,11522,POL
0,513,402,206,PRT
0,36,0,0,PRI
0,147,296,449,QAT
0,294,5377,3475,KOR
0,17124,79750,29973,MDA
76296,206706,69835,18551,ROU
189726,1761683,949771,668547,RUS
3319398,6458525,893726,1314488,RWA
0,0,47,189,KNA
0,21,1171,5965,LCA
0,100,3393,11117,VCT
0,4,11,7,WSM
0,10,16,9,SMR
50,234,325,228,STP
0,1645,3537,6250,SAU
15011,222541,120440,166553,SEN
1311,835420,2063441,708959,SRB
112,1342,420,210,SYC
17,2962764,999195,49802,SLE
11,109,603,474,SGP
0,486,4831,3341,SVK
0,69497,8157,209,SVN
0,170,482,536,SLB
778400,6172280,4696151,8333960,SOM
290186,47241,3212,3422,ZAF
0,0,0,5472996,
847,624,2883,381,ESP
11776,1323175,1259412,1010050,LKA
200404,259090,122577,242313,
1585609,3947660,5520491,4743387,SDN
6601,20030,1048,148,SUR
0,124,193,1084,SWZ
0,186,253,148,SWE
0,291,367,113,CHE
6996,62161,147460,23829467,SYR
0,531113,352424,6323,TJK
2,1638,9661,2094,THA
0,44943,73630,31697,MKD
0,162472,224211,98,TLS
27,592194,176319,96684,TGO
0,10,56,154,TON
0,119,1052,2566,TTO
51,4116,23286,13982,TUN
7540,299282,1628128,731233,TUR
0,8785,6732,4362,TKM
0,0,4,103,TCA
0,15,22,10,TUV
1980730,330511,272609,52014,UGA
0,32075,541910,1018588,UKR
0,18,1428,2017,ARE
0,540,1530,1036,GBR
6820,552,9913,7371,TZA
0,952,10342,26434,USA
1620,3061,1155,937,URY
0,265283,64712,54266,UZB
0,0,0,8,VUT
18064376,18913864,4185588,1114423,Stateless
0,3278,26857,63128,VEN
3515130,4957681,3538500,2617541,VNM
1537190,1655755,1359928,932220,Various
339012,7502,16931,69901,YEM
4812,3869,1428,2118,ZMB
19250,393,98822,170354,ZWE